B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
0.204082530612245,0.366,-1.0400497333086645,-0.6332241861571781,0.3292678903646375,A
0.204082530612245,0.507918367346939,-1.0735054046615782,-0.9833058287602948,0.3039390098072886,A
0.204082530612245,0.649836734693878,-1.1081633492399092,-1.386944800449582,0.2772378749993626,A
0.204082530612245,0.791755102040816,-1.1441359960630475,-1.7977672231385868,0.2490630673527204,A
0.204082530612245,0.933673469387755,-1.1815429995788755,-1.9054672681546163,0.2192939410403206,A
0.204082530612245,1.07559183673469,-1.2205148090725044,-1.675464897124922,0.1877886813394534,A
0.204082530612245,1.21751020408163,-1.2611960739373158,-1.4383134483988949,0.15438135805708,A
0.204082530612245,1.35942857142857,-1.303749214022115,-1.2582243390953165,0.1188778511362505,A
0.204082530612245,1.50134693877551,-1.3483584318261332,-1.122805929885669,0.0810504219300968,A
0.204082530612245,1.64326530612245,-1.3952344342190062,-1.0182836095544527,0.0406304984228937,A
0.204082530612245,1.78518367346939,-1.444620165460262,-0.9353957574182624,-0.0027008110664407,A
0.204082530612245,1.92710204081633,-1.4967979122265642,-0.8681284736158763,-0.0493254045889853,A
0.204082530612245,2.06902040816327,-1.5520982440233353,-0.8124848095872444,-0.0997053314535642,A
0.204082530612245,2.2109387755102,-1.6109113976524554,-0.7657219687879597,-0.1544063340364797,A
0.204082530612245,2.35285714285714,-1.6737019061780904,-0.7258992901781807,-0.2141308626678658,A
0.204082530612245,2.49477551020408,-1.741027524129964,-0.6916058780535326,-0.2797654726051231,A
0.204082530612245,2.63669387755102,-1.813563776283877,-0.6617914692871293,-0.3524508242570838,A
0.204082530612245,2.77861224489796,-1.892135660613688,-0.6356580562303575,-0.4336885425192738,A
0.204082530612245,2.9205306122449,-1.977757810310501,-0.6125883651184709,-0.5255109742609424,A
0.204082530612245,3.06244897959184,-2.0716827161035645,-0.5920973815627525,-0.6307642159831772,A
0.204082530612245,3.20436734693878,-2.175450300014868,-0.5737987057851845,-0.7536091967083136,A
0.204082530612245,3.34628571428571,-2.290911891066284,-0.5573806987315115,-0.9004795785841377,A
0.204082530612245,3.48820408163265,-2.42013911506223,-0.5425892466925936,-1.0821094262547015,A
0.204082530612245,3.63012244897959,-2.564936464760295,-0.5292150935670987,-1.318485298937312,A
0.204082530612245,3.77204081632653,-2.725103910166034,-0.517084387742015,-1.653899261002895,A
0.204082530612245,3.91395918367347,-2.8931341603915506,-0.5060515286730342,-2.224802270779311,A
0.204082530612245,4.05587755102041,-3.041715845397108,-0.4959936856953751,-3.922823255871406,A
0.204082530612245,4.05587755102041,-3.041715845397108,-0.4959936856953751,-3.922823255871406,A
0.204082530612245,4.19779591836735,-3.1138637667751943,-0.4868065396300167,-2.2594505462369168,A
0.204082530612245,4.33971428571429,-3.065664422414585,-0.4784009899008841,-1.638062500615615,A
0.204082530612245,4.48163265306122,-2.9291932684670945,-0.4707004672264998,-1.2706487316866892,A
0.204082530612245,4.62355102040816,-2.7646579824303763,-0.4636388849780266,-1.007019089059817,A
0.204082530612245,4.7654693877551,-2.604880401165363,-0.4571589194737177,-0.800025604968009,A
0.204082530612245,4.90738775510204,-2.4598873220813435,-0.4512106486735632,-0.6287150838891953,A
0.204082530612245,5.04930612244898,-2.330678172132884,-0.445750438712865,-0.4819326168303108,A
0.204082530612245,5.19122448979592,-2.215630692830368,-0.4407400224379516,-0.3530293840962308,A
0.204082530612245,5.33314285714286,-2.1126673655836736,-0.436145737572449,-0.2377209374971518,A
0.204082530612245,5.4750612244898,-2.0198840432778637,-0.4319379000566746,-0.1330834122290479,A
0.204082530612245,5.61697959183673,-1.935684305576888,-0.4280902744511011,-0.0370316098431968,A
0.204082530612245,5.75889795918367,-1.8587670963711855,-0.4245796305742423,0.0519744774438945,A
0.204082530612245,5.90081632653061,-1.788078875093473,-0.4213853680713599,0.1351050726721846,A
